Tanggal,Pintu Masuk,Jumlah Kunjungan
2019-07-01,Sultan Syarif Kasim II,2555.0
2019-07-01,A. Pintu Udara,975870.0
2019-07-01,Ahmad Yani,1851.0
2019-07-01,Supadio,1826.0
2019-07-01,Hasanuddin,1473.0
2019-07-01,Bandara Int. Lombok,5306.0
2019-07-01,Sam Ratulangi,11203.0
2019-07-01,Sultan Badaruddin II,1231.0
2019-07-01,Soekarno-Hatta,267143.0
2019-07-01,Total,1468173.0
2019-07-01,B. Pintu Laut,311429.0
2019-07-01,Tanjung Uban,49247.0
2019-07-01,Tanjung Pinang,11951.0
2019-07-01,Tanjung Balai Karimun,8425.0
2019-07-01,Tanjung Benoa,13.0
2019-07-01,Pintu Laut Lainnya,94006.0
2019-07-01,C. Pintu Darat,180874.0
2019-07-01,Aruk,1061.0
2019-07-01,Tanjung Mas,97.0
2019-07-01,Entikong,1720.0
2019-07-01,Nanga Badau,1178.0
2019-07-01,Pintu Darat Lainnya,162397.0
2019-07-01,Jumlah (A+B+C),1468173.0
2019-07-01,Lainnya,
